Square	L	errL	M	errM	D	errD
29x29	29.0166666666667	0.108012344973465	2.79666666666667	0.0115470053837925	35.3483333333333	0.902683037763902
26x26	26.0166666666667	0.125166555703458	2.28	0.01	29.245	0.88084618407529
23x23	23	0.1	1.77	0.01	25.8523333333333	0.326835840547921
20x20	20.0166666666667	0.108012344973465	1.34	0.01	23.304	1.319080967947
17x17	17.0166666666667	0.108012344973465	0.97	0.01	20.2398333333333	1.17701927200308
14x14	14	0.118321595661992	0.66	0.01	18.1696666666667	0.719706097422182
11x11	11	0.1	0.4	0.01	14.9503333333333	0.823663564003329
8x8	7.98333333333333	0.108012344973464	0.21	0.01	10.6428333333333	0.386141899651756
5x5	5	0.1	0.08	0.01	7.535	0.305142261904181
3x3	3	0.1	0.02	0.01	3.11716666666667	0.212220561366392

