Frequency,Real part,Imaginary part,Magnitude,Angle
+0.000000E+00,-7.060980E-03,+0.000000E+00,-4.302270E+01,+3.141593E+00
+2.441406E+02,+5.931666E-03,-2.109288E-03,-4.401935E+01,-3.416531E-01
+4.882812E+02,+2.494256E-03,-8.514899E-03,-4.103888E+01,-1.285840E+00
+7.324219E+02,+7.565883E-02,-2.913870E-01,-1.042725E+01,-1.316756E+00
+9.765625E+02,-1.757715E-01,+6.756932E-01,-3.120638E+00,+1.825291E+00
+1.220703E+03,+1.015083E-01,-3.889689E-01,-7.915567E+00,-1.315522E+00
+1.464844E+03,-3.210785E-03,+1.325887E-02,-3.730238E+01,+1.808384E+00
+1.708984E+03,-1.204334E-03,+2.452717E-03,-5.126898E+01,+2.027234E+00
+1.953125E+03,+3.007312E-04,+1.879540E-03,-5.440918E+01,+1.412139E+00
+2.197266E+03,-4.723635E-04,+3.810713E-04,-6.433748E+01,+2.462760E+00
+2.441406E+03,-9.913614E-05,+2.275657E-04,-7.210320E+01,+1.981642E+00
+2.685547E+03,+8.463803E-05,+2.725842E-04,-7.089025E+01,+1.269732E+00
+2.929688E+03,-3.113981E-04,+3.299708E-04,-6.686450E+01,+2.327245E+00
+3.173828E+03,+2.607791E-04,-2.646971E-05,-7.163003E+01,-1.011560E-01
+3.417969E+03,-2.443371E-05,+1.054554E-04,-7.931152E+01,+1.798476E+00
+3.662109E+03,+3.509746E-05,+7.003523E-05,-8.212061E+01,+1.106237E+00
+3.906250E+03,-3.602661E-04,-2.753752E-04,-6.686928E+01,-2.488961E+00
+4.150391E+03,+3.067456E-04,+4.573905E-04,-6.518129E+01,+9.800462E-01
+4.394531E+03,-1.122641E-04,-2.473475E-04,-7.132037E+01,-1.996866E+00
+4.638672E+03,+2.671041E-04,+2.158623E-04,-6.928335E+01,+6.796955E-01
+4.882812E+03,-8.009922E-04,+9.362430E-05,-6.186850E+01,+3.025235E+00
+5.126953E+03,+6.350616E-04,-2.497893E-04,-6.331896E+01,-3.747438E-01
+5.371094E+03,-4.698720E-05,+1.685990E-04,-7.513805E+01,+1.842592E+00
+5.615234E+03,-1.028908E-04,+4.035856E-05,-7.913094E+01,+2.767788E+00
+5.859375E+03,+1.092009E-04,-2.193053E-04,-7.221706E+01,-1.108798E+00
+6.103516E+03,-1.814951E-05,+3.043878E-04,-7.031604E+01,+1.630352E+00
+6.347656E+03,-5.480095E-05,-1.072271E-04,-7.838608E+01,-2.043263E+00
