MaxValue	signal_input	speedMotor
1023	733	182
1023	735	183
1023	739	184
1023	765	190
1023	766	190
1023	769	191
1023	796	198
1023	799	199
1023	805	200
1023	825	205
1023	832	207
1023	837	208
1023	857	213
1023	862	214
1023	865	215
1023	888	221
1023	894	222
1023	897	223
1023	918	228
1023	923	230
1023	933	232
1023	950	236
1023	952	237
1023	963	240
1023	967	241
1023	982	244
1023	991	247
1023	999	249
1023	1016	253
1023	0	0
1023	15	3
1023	26	6
1023	36	8
1023	47	11
1023	57	14
1023	67	16
1023	77	19
1023	88	21
1023	98	24
1023	108	26
1023	118	29
1023	129	32
1023	140	34
1023	145	36
1023	160	39
1023	171	42
1023	180	44
1023	192	47
1023	202	50
1023	213	53
1023	217	54
1023	232	57
1023	244	60
1023	253	63
1023	263	65
1023	273	68
1023	284	70
1023	288	71
1023	304	75
1023	315	78
1023	321	80
1023	322	80
1023	346	86
1023	356	88
1023	356	88
1023	376	93
1023	387	96
1023	392	97
1023	392	97
1023	418	104
1023	428	106
1023	427	106
1023	449	111
1023	459	114
1023	458	114
1023	480	119
1023	490	122
1023	489	121
1023	510	127
1023	522	130
1023	520	129
1023	543	135
1023	552	137
1023	548	136
1023	573	142
1023	583	145
1023	584	145
1023	604	150
1023	614	153
1023	615	153
1023	640	159
1023	646	161
1023	648	161
1023	646	161
1023	677	168
1023	680	169
1023	680	169
1023	708	176
1023	711	177
1023	712	177
1023	739	184
1023	742	184
1023	749	186
1023	770	191
1023	775	193
1023	781	194
1023	800	199
1023	802	199
1023	812	202
1023	831	207
1023	831	207
1023	840	209
1023	863	215
1023	869	216
1023	874	217
1023	894	222
1023	897	223
1023	900	224
1023	925	230
1023	928	231
1023	935	233
1023	948	236
1023	955	238
1023	969	241
1023	974	242
1023	993	247
1023	1002	249
1023	1010	251
