MaxValue	signal_input	speedMotor
1023	1008	251
1023	1015	253
1023	1016	253
1023	0	0
1023	4	0
1023	9	2
1023	12	2
1023	16	3
1023	20	4
1023	25	6
1023	28	6
1023	32	7
1023	37	9
1023	41	10
1023	46	11
1023	49	12
1023	53	13
1023	57	14
1023	62	15
1023	65	16
1023	70	17
1023	73	18
1023	78	19
1023	82	20
1023	85	21
1023	91	22
1023	94	23
1023	98	24
1023	102	25
1023	107	26
1023	110	27
1023	115	28
1023	119	29
1023	123	30
1023	126	31
1023	131	32
1023	135	33
1023	139	34
1023	144	35
1023	148	36
1023	152	37
1023	156	38
1023	160	39
1023	165	41
1023	164	40
1023	173	43
1023	175	43
1023	180	44
1023	185	46
1023	189	47
1023	194	48
1023	190	47
1023	201	50
1023	206	51
1023	209	52
1023	214	53
1023	219	54
1023	222	55
1023	216	53
1023	231	57
1023	235	58
1023	235	58
1023	243	60
1023	246	61
1023	250	62
1023	242	60
1023	259	64
1023	263	65
1023	261	65
1023	272	67
1023	276	68
1023	280	69
1023	269	67
1023	288	71
1023	292	72
1023	289	72
1023	301	75
1023	305	76
1023	308	76
1023	293	73
1023	316	78
1023	321	80
1023	316	78
1023	329	82
1023	333	83
1023	337	84
1023	327	81
1023	345	85
1023	350	87
1023	343	85
1023	357	88
1023	362	90
1023	361	89
1023	352	87
1023	375	93
1023	378	94
1023	368	91
1023	387	96
1023	391	97
1023	389	96
1023	381	94
1023	404	100
1023	408	101
1023	397	98
1023	416	103
1023	420	104
1023	409	101
1023	428	106
1023	433	107
1023	424	105
1023	441	109
1023	445	110
1023	436	108
1023	453	112
1023	457	113
1023	446	111
1023	465	115
1023	470	117
1023	458	114
1023	479	119
1023	483	120
1023	476	118
1023	491	122
1023	495	123
1023	489	121
1023	503	125
1023	508	126
1023	498	124
1023	515	128
1023	519	129
1023	514	128
1023	527	131
1023	532	132
1023	526	131
1023	540	134
1023	545	135
1023	538	134
1023	553	137
1023	557	138
1023	548	136
1023	565	140
1023	569	141
1023	564	140
1023	578	144
1023	582	145
1023	578	144
1023	592	147
1023	595	148
1023	593	147
1023	606	151
1023	608	151
1023	599	149
1023	599	149
1023	619	154
1023	612	152
1023	615	153
1023	631	157
1023	629	156
1023	627	156
1023	644	160
1023	638	159
1023	640	159
1023	656	163
1023	649	161
1023	644	160
1023	668	166
1023	666	166
1023	665	165
1023	682	170
1023	679	169
1023	682	170
1023	694	172
1023	691	172
1023	693	172
1023	706	175
1023	705	175
1023	704	175
1023	719	179
1023	716	178
1023	711	177
1023	732	182
1023	729	181
1023	730	181
1023	744	185
1023	742	184
1023	737	183
1023	756	188
1023	756	188
1023	754	187
1023	768	191
1023	768	191
1023	767	191
1023	781	194
1023	780	194
1023	773	192
1023	792	197
1023	792	197
1023	785	195
1023	804	200
1023	798	198
1023	799	199
1023	818	203
1023	816	203
1023	817	203
1023	831	207
1023	829	206
1023	831	207
1023	841	209
1023	841	209
1023	844	210
1023	856	213
1023	855	213
1023	848	211
1023	867	216
1023	867	216
1023	862	214
1023	879	219
1023	877	218
1023	881	219
1023	892	222
1023	892	222
1023	890	221
1023	904	225
1023	903	225
1023	906	225
1023	916	228
1023	913	227
1023	919	229
1023	929	231
1023	930	231
1023	927	231
1023	945	235
1023	939	234
1023	937	233
1023	937	233
1023	954	237
1023	955	238
1023	959	239
1023	966	240
1023	965	240
1023	972	242
1023	978	243
1023	982	244
1023	984	245
1023	992	247
1023	990	246
1023	1000	249
1023	1002	249
1023	1007	251
1023	1012	252
1023	1016	253
1023	0	0
1023	1	0
1023	6	1
1023	10	2
1023	14	3
1023	18	4
1023	22	5
1023	27	6
1023	31	7
