MaxValue	signal_input	speedMotor
1023	1010	251
1023	1009	251
1023	1011	252
1023	1007	251
1023	1010	251
1023	1007	251
1023	1005	250
1023	1007	251
1023	1007	251
1023	1006	250
1023	1010	251
1023	1011	252
1023	1006	250
1023	1018	253
1023	1009	251
1023	1012	252
1023	1009	251
1023	1012	252
1023	1009	251
1023	1007	251
1023	1012	252
1023	1008	251
1023	1006	250
1023	0	0
1023	4	0
1023	4	0
1023	4	0
1023	3	0
1023	4	0
1023	3	0
1023	4	0
1023	4	0
1023	3	0
1023	3	0
1023	4	0
1023	5	1
1023	4	0
1023	5	1
1023	4	0
1023	3	0
1023	5	1
1023	4	0
1023	4	0
1023	4	0
1023	3	0
1023	3	0
1023	4	0
1023	4	0
1023	3	0
1023	4	0
1023	4	0
1023	3	0
1023	4	0
1023	3	0
1023	3	0
1023	4	0
1023	4	0
1023	4	0
1023	3	0
1023	4	0
1023	4	0
1023	4	0
1023	4	0
1023	4	0
1023	3	0
1023	2	0
1023	3	0
1023	4	0
1023	4	0
1023	4	0
1023	4	0
1023	3	0
1023	4	0
1023	1014	252
1023	1003	250
1023	1003	250
1023	1004	250
1023	1004	250
1023	1000	249
1023	1003	250
1023	1005	250
1023	1001	249
1023	1006	250
1023	1004	250
1023	1000	249
1023	1005	250
1023	996	248
1023	1005	250
1023	1005	250
1023	1007	251
1023	1003	250
1023	1000	249
1023	1005	250
1023	1005	250
1023	1003	250
1023	1004	250
1023	1004	250
1023	1008	251
1023	1005	250
1023	1009	251
1023	1010	251
1023	1010	251
1023	1007	251
1023	1010	251
1023	1005	250
1023	1013	252
1023	1012	252
1023	1011	252
1023	1008	251
1023	1009	251
1023	1012	252
1023	1008	251
1023	1012	252
1023	1006	250
1023	1012	252
1023	1004	250
1023	1015	253
1023	1010	251
1023	1019	254
1023	1011	252
1023	1010	251
1023	1012	252
1023	1009	251
1023	0	0
1023	4	0
1023	4	0
1023	4	0
