MaxValue	signal_input	speedMotor
1023	22	5
1023	12	2
1023	5	1
1023	0	0
1023	0	0
1023	0	0
1023	0	0
1023	0	0
1023	4	0
1023	12	2
1023	20	4
1023	32	7
1023	44	10
1023	59	14
1023	75	18
1023	94	23
1023	114	28
1023	135	33
1023	153	38
1023	183	45
1023	208	51
1023	235	58
1023	250	62
1023	291	72
1023	322	80
1023	346	86
1023	384	95
1023	413	102
1023	447	111
1023	465	115
1023	512	127
1023	545	135
1023	563	140
1023	609	151
1023	641	159
1023	656	163
1023	709	176
1023	732	182
1023	747	186
1023	772	192
1023	815	203
1023	832	207
1023	854	212
1023	887	221
1023	902	224
1023	918	228
1023	945	235
1023	952	237
1023	963	240
1023	990	246
1023	991	247
1023	999	249
1023	1008	251
1023	1010	251
1023	1016	253
1023	1018	253
1023	1018	253
1023	1013	252
1023	1008	251
1023	1000	249
1023	991	247
1023	980	244
1023	966	240
1023	955	238
1023	935	233
1023	916	228
1023	898	223
1023	874	217
1023	849	211
1023	829	206
1023	800	199
1023	771	192
1023	746	185
1023	712	177
1023	682	170
1023	656	163
1023	622	155
1023	592	147
1023	561	139
1023	523	130
1023	495	123
1023	462	115
1023	426	106
1023	398	99
1023	368	91
1023	333	83
1023	305	76
1023	276	68
1023	243	60
1023	220	54
1023	194	48
1023	168	41
1023	145	36
1023	123	30
1023	103	25
1023	83	20
1023	66	16
1023	51	12
1023	38	9
1023	25	6
1023	15	3
1023	7	1
1023	1	0
1023	0	0
1023	0	0
1023	0	0
1023	0	0
1023	3	0
1023	8	1
1023	16	3
