MaxValue	signal_input	speedMotor
1023	269	255
1023	267	255
1023	264	255
1023	268	255
1023	272	255
1023	279	255
1023	283	255
1023	293	255
1023	304	255
1023	313	255
1023	327	255
1023	336	255
1023	349	255
1023	357	255
1023	366	255
1023	373	255
1023	375	255
1023	382	255
1023	385	255
1023	385	255
1023	381	255
1023	376	255
1023	368	255
1023	363	255
1023	351	255
1023	343	255
1023	333	255
1023	320	255
1023	311	255
1023	299	255
1023	292	255
1023	282	255
1023	272	255
1023	269	255
1023	266	255
1023	264	255
1023	263	255
1023	265	255
1023	272	255
1023	279	255
1023	284	255
1023	295	255
1023	309	255
1023	318	255
1023	330	255
1023	338	255
1023	349	255
1023	359	255
1023	365	255
1023	375	255
1023	380	255
1023	383	255
1023	383	255
1023	382	255
1023	376	255
1023	376	255
1023	367	255
1023	358	255
1023	353	255
1023	338	255
1023	331	255
1023	316	255
1023	302	255
1023	291	255
1023	282	255
1023	268	255
1023	263	255
1023	256	255
1023	251	255
1023	252	255
1023	252	255
1023	258	255
1023	264	255
1023	271	255
1023	274	255
1023	283	255
1023	294	255
1023	307	255
1023	327	255
1023	338	255
1023	348	255
1023	360	255
1023	373	255
1023	379	255
1023	385	255
1023	389	255
1023	388	255
1023	390	255
1023	385	255
1023	378	255
1023	372	255
1023	365	255
1023	355	255
1023	343	255
1023	333	255
1023	319	255
1023	311	255
1023	296	255
1023	290	255
1023	280	255
1023	271	255
1023	269	255
1023	266	255
1023	262	255
1023	264	255
1023	266	255
1023	270	255
1023	280	255
1023	283	255
1023	293	255
1023	307	255
1023	318	255
1023	329	255
1023	336	255
1023	349	255
1023	358	255
1023	365	255
1023	375	255
1023	380	255
1023	381	255
1023	385	255
1023	383	255
1023	379	255
1023	375	255
1023	365	255
1023	360	255
1023	352	255
1023	340	255
1023	329	255
1023	315	255
1023	305	255
