MaxValue	signal_input	speedMotor
1023	250	255
1023	243	255
1023	240	255
1023	232	255
1023	226	255
1023	227	255
1023	234	255
1023	242	255
1023	251	255
1023	260	255
1023	267	255
1023	280	255
1023	293	255
1023	307	255
1023	320	255
1023	329	255
1023	333	255
1023	343	255
1023	349	255
1023	353	255
1023	355	255
1023	361	255
1023	353	255
1023	348	255
1023	342	255
1023	332	255
1023	325	255
1023	310	255
1023	302	255
1023	288	255
1023	280	255
1023	269	255
1023	258	255
1023	256	255
1023	248	255
1023	250	255
1023	245	255
1023	245	255
1023	255	255
1023	257	255
1023	269	255
1023	277	255
1023	286	255
1023	301	255
1023	313	255
1023	313	255
1023	318	255
1023	334	255
1023	346	255
1023	353	255
1023	360	255
1023	364	255
1023	362	255
1023	357	255
1023	354	255
1023	346	255
1023	334	255
1023	323	255
1023	317	255
1023	305	255
1023	293	255
1023	278	255
1023	267	255
1023	263	255
1023	257	255
1023	251	255
1023	247	255
1023	244	255
1023	250	255
1023	258	255
1023	265	255
1023	269	255
1023	277	255
1023	293	255
1023	310	255
1023	321	255
1023	330	255
1023	340	255
1023	353	255
1023	363	255
1023	367	255
1023	368	255
1023	369	255
1023	372	255
1023	370	255
1023	362	255
1023	352	255
1023	344	255
1023	337	255
1023	326	255
1023	313	255
1023	301	255
1023	289	255
1023	277	255
1023	273	255
1023	268	255
1023	264	255
1023	255	255
1023	254	255
1023	255	255
1023	264	255
1023	270	255
1023	276	255
1023	286	255
1023	297	255
1023	307	255
1023	316	255
1023	329	255
1023	343	255
1023	352	255
1023	359	255
1023	364	255
1023	365	255
1023	368	255
1023	369	255
1023	368	255
1023	364	255
1023	356	255
1023	346	255
1023	335	255
1023	326	255
1023	315	255
1023	303	255
1023	291	255
